id,nombre
1,campaña
2,gastos
3,costos
4,Internet
5,Brazil
6,Italia
7,Estados Unidos
8,Elecciones
9,Elecciones
10,Congreso Visible
11,rectificacion
12,milton rodriguez
13,encuestas
14,presidencia
15,género
16,mujeres
17,Comisión Legal para la Equidad de la Mujer
18,PL. 127/09 de Senado
19,Congreso
20,agenda
21,control político
22,proyectos de ley
23,orden del día
24,indigenas
25,afro
26,etnico
27,minorías
28,representación
29,incentivos tributarios
30,corrupción
31,inversión
32,Comisión Nacional de Desarrollo Integral
33,Movimiento Cimarrón
34,Agenda legislativa
35,Votaciones
36,Reforma a la salud
37,Juventud
38,jóvenes
39,rendición de cuentas
40,Modernización recinto senado
41,Conflicto Armado
42,Ley de bancadas
43,Disciplina partidista
44,Partidos políticos
45,Comisión Reguladora de Energía y Gas
46,energía eléctrica
47,Política Social
48,Derechos Económicos Sociales y Culturales (desc)
49,Sistema político
50,Ausentismo
51,Referendo del agua
52,Reglamento del Congreso
53,Ley 375 de 1998
54,Proyecto de ley 60/2009 Senado
55,Estatuto de Juventud
56,Política Pública de Juventud
57,ley de cuotas
58,Oposición
59,Rama ejecutiva
60,Rama legislativa
61,Rama judicial
62,acuerdo de unidad nacional
63,Álvaro Uribe
64,Juan Manuel Santos
65,Luis Javier Orjuela
66,Seguridad Democrática
67,diplomacia
68,LAPOP
69,Opinión Pública
70,Liberalismo
71,Partido Liberal
72,Partido Conservador
73,Conservadurismo
74,Bipartidismo
75,Partido Verde
76,Mockus
77,Secretarios
78,Mesas Directivas
79,ciudadania
80,tecnologia
81,Senado
82,Cámara de Representantes
83,comisiones
84,Comisiones legales
85,Comisión de Ordenamiento Territorial
86,metro
87,Bogotá
88,transporte público
89,cundinamarca
90,fiscalía
91,medellín
92,feria de las flores
93,ASI
94,Juan Valdés
95,Juan Valdés
96,Cámara de Representantes
97,reforma
98,sistema electoral
99,terrorismo
100,voto
101,derecho al voto
102,Cultura caucana
103,angela robledo
104,partido verde
105,antanas mockus
106,pedagogia politica y legislativa
107,mockus
108,ley
109,ola verde
110,Beatriz Uribe Botero
111,Ministra de Medio Ambiente
112,Control Político
113,Ley de Tierras
114,Voto nominal
115,Acto Legislativo 01 de 2009
116,Accountability
117,Cauca
118,Música
119,Nuevo Congreso
120,Carlos Julio Bonilla Soto
121,Bancadas
122,Dilian Francisca Toro
123,CMJ
124,Bicentenario
125,03/10
126,Justicia
127,Nariño
128,Indígenas
129,Coalición legislativa
130,Coalición de gobierno
131,Felipe Botero Jaramillo
132,Votaciones Nominales
133,Circunscripciones unipersonales
134,John Sudarsky
135,Ciudadanía
136,Voto preferente
137,Financiación de campañas
138,Lista cerrada
139,Consulta Previa
140,Recursos pesqueros
141,Heriberto Arrechea
142,Yahir Fernando Acuña Cardales
143,Movimiento Popular Unido
144,Afrovides
145,Marco Aníbal Avirama Avirama
146,Alianza Social Indígena
147,Germán Bernardo Carlosama López
148,Autoridades Indígenas de Colombia
149,AICO
150,Hernando Hernández Tapasco
151,das
152,La Cosa Política
153,Aclaración
154,"Gilma Jiménez, Adolescentes, Delincuncia,"
155,"Gilma Jiménez, adolescentes delincuentes,"
156,Aclaración de información
157,Boletín
158,"Prisión Perpetua, violadores, asesinos, niñ@s"
159,mineria
160,Ángela María Robledo
161,Transparencia
162,Participación Ciudadana
163,mujer
164,Bancada de Mujeres
165,feminismo
166,regalías
167,narcotráfico
168,minas y energía
169,"Regalías, Hidrocarburos, Meta"
170,Claudia Marcela Amaya
171,"Salud Sexual y Reproductiva, Proyectos Víales"
172,Salud Sexual y Reproductiva
173,medio ambiente
174,Fiscal
175,Banco de la República
176,Leonardo Villar
177,Kenneth J. Arrow
178,sanción
179,piedad córdoba
180,salud
181,restitución de tierras
182,descentralización
183,chuzadas
184,derechos humanos
185,educación
186,"PROYECTO DE LEY 073 DE 2010 CAMARA , Fútbol"
187,"LOOT, Audiencias Públicas, Comisión Ordenamiento T"
188,instituto colombiano de bienestar familiar
189,Código de Infancia y Adolescencia
190,minas antipersona
191,ley de orden público
192,ley de víctimas
193,agro ingreso seguro
194,rebaja de penas
195,naciones unidas
196,Parlamento Estudiantil
197,televisión
198,Asía
199,Asia
200,Internacional
201,televisión
202,Simpsons
203,pobreza
204,Matt Groening
205,redes sociales
206,Facebook
207,Twitter
208,presupuesto
209,FARC
210,paz
211,Mono Jojoy
212,guerrilla
213,Fuerzas Aema
214,Fuerzas Armadas
215,Medófilo Medina
216,razonpublica.com
217,Sodoma
218,Polo Democrático
219,Jorge Iván Cuervo
220,Unidad nacional
221,izquierda
222,Gobierno
223,Política
224,Amylkar Acosta
225,TLC
226,regalías
227,Agricultura
228,Ley de Tierras
229,tarifas
230,Colombia
231,Bernardo Congote
232,Patria
233,historia
234,mentalidad colectiva
235,patologías nacionales
236,violencia
237,patriotismo
238,Bolívar
239,Gaitán
240,Galán
241,Francisco de Paula Santander
242,Procedes
243,ministerios
244,Juegos Nacionales
245,Fernando Garavito Pardo
246,Ola Invernal
247,Mauricio Aguilar Hurtado
248,Vías
249,Santander
250,Armando Borrero Mansilla
251,América Latina
252,Latinoamérica
253,Irán
254,Chávez
255,Venezuela
256,uranio
257,drogas
258,California
259,NARIÑO VISIBLE
260,SENA
261,marihuana
262,legalización
263,Francisco Thuomi
264,Propuesta 19
265,ley estatutaria
266,Sandra Borda
267,Barak Obama
268,republicanos
269,demócratas
270,Elecciones en USA
271,"Cumpleaños, Medellín, 335 años, Felicitaciones"
272,Vías Santander
273,Vía Bogotá Bucaramanga
274,Giovanni Molano Cruz
275,Control estupefacientes
276,Mundo
277,Legalización drogas Estados Unidos
278,corte suprema de justicia
279,reforma política
280,LGBT
281,Carolina Giraldo
282,gay
283,lesbianas
284,bisexuales
285,transgénero
286,Parejas del mismo sexo
287,matrimonio gay
288,derechos patrimoniales lgbt
289,adopción gay
290,Ministerio de Medio Ambiente
291,créditos
292,movilidad
293,Luis Enrique Orozco
294,Consejo de Estado
295,seguridad ciudadana
296,Inversión extranjera
297,boom minero
298,hidrocarburos
299,Yahir Klein
300,paramilitares
301,colegios
302,reparación
303,alucinógenos
304,Elección del fiscal
305,Hernando Gómez Buendía
306,Carlos Arturo Correa
307,gasolina
308,combustible
309,Red Nacional de Carreteras
310,pico y placa
311,INCODER
312,Rodrigo Hurtado Sabogal
313,Instituto Colombiano de Desarrollo Agropecuario
314,CARLOS  AMAYA
315,Partido de la U
316,Marcela Prieto
317,Juan Carlos Polau
318,Juan Carlos Palou
319,Andrés Pastrana
320,vasectomía
321,ligadura de trompas
322,agua
323,Ministerio de la mujer
324,Hugo Chávez
325,Colombia Venezuela
644,Raúl Muñoz
326,Relaciones binacionales
327,José Gregorio Hernández
328,Llanos orientales
329,Vías férreas
330,Roberto Burgos Cantor
331,Ley de inteligencia
332,Ley de primer empleo
333,Empleo
334,Yamile Salinas
335,Mapiripán
336,AUC
337,San José del Guaviaré
338,Reforma tributaria
339,danmificados
340,damnificados
341,salud mental
342,reforma a la salud
343,Adriana María Lagos
344,estatuto anticorrupción
345,invierno
346,fútbol colombiano
347,sociedades anónimas
348,Ministro de Hacienda
349,Juan Carlos Echeverry
350,asilo
351,Panamá
352,DAS
353,Política exterior
354,Martha Ardila
355,competitividad
356,región caribe
357,Juan Tokatlián
358,Brasil
359,Dilma Rouseeff
360,Día a la NO Violencia contra la Mujer
361,Michael Reed
362,Desmovilizados
363,Procesos Penales
364,Foro Mundial de Turismo
365,María del Pilar Hurtado
366,Ex directora del DAS
367,ciudad
368,"visitas, barrios, Medellín. Antioquia, gente"
369,cascos
370,motociclistas
371,Marcela Anzona
372,Julio Roberto Piza
373,Carmenza Saldías
374,Tragedia Invernal
375,Tragedia Invernal Bogotá
376,ONU
377,Desorden ambiental
378,Conferencia de la ONU sobre el clima
379,Mauricio Cabrera Leal
380,Votación ordinaria
381,Fabian Sanabria
382,Wikileaks
383,Gustavo Wilches
384,Referendo
385,Germán Rey
386,Fenómeno La Niña
387,Manuel Guzmán Hennessey
388,Cambio climático
389,Iván Montenegro Trujillo
390,Colombia economía
391,Plan Nacional de Desarrollo 2010 - 2014
392,Páramo de Santurbán
393,Socorro Ramírez
394,desaceleración
395,crecimiento económico
396,invierno colombia
397,explotación recursos naturales
398,Camilo González Posso
399,Francesca Ramos
400,Uribe Chávez
401,Clara Rocio Rodríguez Pico
402,Reforma 2009
403,Reforma 2003
404,Reforma 2004
405,Salario mínimo
406,Menores de edad
407,Ley de Piscinas
408,Vivian Morales nueva fical general de la nación
409,Gloria María Borrero
410,Emergencia invernal
411,Útiles escolares
412,Guillermo Rudas Lleras
413,Héctor Fabio Cardona
414,Silvestre Dangond
415,CAR
416,Corporación Autónoma Regional
417,María Victoria Duque López
418,homicidios
419,criminalidad
420,criminalidad
421,inseguridad
422,vivienda
423,Ricardo García Duarte
424,Francisco Cajiao
425,Licencia de maternidad
426,William Duica
427,Ley de Justicia y Paz
428,Gustavo Wilches Chaux
429,José Manuel Restrepo Abondano
430,Educación superior Colombia
431,Universidades Colombia
432,ciudadanos
433,urbes
434,ciudades Colombia
435,Seguimiento
436,Mario Hernández Álvarez
437,Secuestrados
438,Cultura
439,Hay Festival Cartagena
440,Myriam Bautista
441,Hay Festival Cartagena 2011
442,Jean Carlo Mejía Azuero
443,Fuero militar
444,Justicia penal militar
445,militares
446,Fiscalía
447,CTI
448,Código penal militares
449,Mundo Islámico Egipto
450,Juan Pablo Ruiz Soto
451,Consecuencias desastre clima Colombia
452,Miraismo
453,Movimiento
454,MIRA
455,MIRA
456,Miraismo
457,Movimiento
458,MIRA
459,Miraismo
460,Movimiento
461,revolución
462,Armando Novoa
463,Constitución de 1991
464,Constituyente
465,Antonio Hernández Gamarra
466,Luis Hernando Barreto Nieto
467,cambio fiscal
468,sostenimiento fiscal
469,DIAN
470,regalías
471,Institucionalidad Fiscal
472,Carga tributaria
473,Movimiento social
474,Bogotá
475,Miraísmo
476,Ideología
477,democracia
478,democracia
479,Consejo Nacional de Seguridad
480,Sistema de Seguridad Ciudadana
481,Justicia Penal
482,infraestructura
483,infraestructura
484,industria
485,wikileaks
486,guerra por la información
487,Afganistán
488,Francisco Thoumi
489,narcotráfico
490,cocaína
491,coca Colombia
492,Bolivia
493,café
494,comercio exterior
495,exportaciones
496,Droga
497,Bruce Bagley
498,Cartes de Juárez
499,Narcotráfico México Colombia
500,Sinaloa
501,armas blancas
502,balance gestiòn
503,ley del fútbol
504,fútbol colombiano
505,Propuestas de la Bancada de Mujeres
506,"Antanas, Voto Limpio"
507,politiquería
508,Medio Oriente
509,represión
510,protestas
511,Greystar
512,Páramo de Santurbán
513,Santander
514,Paramo Santurban
515,extradición
516,formalización
517,informalidad
518,Convención
519,Presidente
520,Nacional
521,Mauricio Noguera Rojas
522,Adopción parejas del mismo sexo
523,homosexuales Colombia adopción
524,derechos parejas del mismo sexo
525,contratación
526,administración pública
527,calendario escolar
528,Instituto de Ciencia Política
529,Observatorio Legislativo
530,Balance Legislativo
531,Germán C. Prieto
532,China Colombia
533,Canal Interoceánico China Colombia
534,Agenda Legislativa Bancada de Mujeres del Congreso
535,Leonardo González
536,Maltrato animal
537,"Lucho Garzón, Páramo Santurbán"
538,derechos animales Colombia
539,lechuza pateada Colombia
540,confianza
541,Recuperemos la confianza
542,Antanas Mockus
543,Sergio Fajardo
544,Angela María Robledo
545,"Sello Verde, avales, información"
546,afrodescendientes
547,Boris Pinto
548,Gloria Inés Ramírez
549,Gloria Ines Ramírez
550,gestión
551,Marcela Prieto Botero
552,"Mujer, retos"
553,Jorge Eduardo Londoño
554,Felix Valera
555,Felix Valera
556,megaproyectos
557,Región Pacífico
558,Departamento Nacional de Planeación
559,alimentación
560,BACRIM
561,Jorge A. Restrepo
562,Juan David González
563,Alonso Tobón
564,Humberto Molina
565,Proyecto
566,"Reactores  Nucleares, explosión, Japón"
567,Antonio Sanguino
568,Lucho Garzón
569,Lucho Garzón
570,Lucho Garzón
571,terremoto japón tsunami
572,cárcel
573,Ministerio de Agricultura
574,Jaime Tenjo
575,empleo Colombia
576,Código de Convivencia
577,menores de edad
578,Ley 124 de 1994
579,licor
580,Yolanda Puyana Villamizar
581,Familias Colombia
582,Libia
583,Gadafi
584,crédito
585,riesgos energía
586,PIB
587,obras públicas
588,DANE
589,Unidad Nacional
590,Ley 1429 de 2010
591,economía
592,Dirección de Cauca
593,Jorge Iván González
594,Edna Bonilla Sebá
595,recursos públicos
596,Ley 30 de 1992
597,servicio público cultural Colombia
598,comparendos
599,Colombia Ecuador
600,UNASUR
601,Eugenio Prieto Soto
602,Agencia Nacional de Movilidad
603,Congreso de la República
604,Movilidad
605,Plan Nacional de Desarrollo
606,Política de Movilidad
607,Política de Transporte
608,Prosperidad para todos
609,Senado de la República
610,Julio Fierro
611,Oro
612,La Colosa
613,Marmato
614,Oro Colombia
615,armas
616,Obama América Latina
617,Obama Colombia
618,Diana Marcela Rojas
619,Virgüez
620,Fuerza Pública
621,Equidad
622,Igualdad de Oportunidades
623,foro
624,las caras del senado
625,exposición
626,Carlos Baena
627,Calentamiento Global
628,Desarrollo Sostenible
629,Servicios Públicos
630,Control social
631,Desigualdad
632,Manuel Virgüez
633,Corte Constitucional
634,"Emergencia Económica, Social y Ecológica"
635,Decretos Emergencia Invernal
636,Facultades Legislativas
637,Gloria Stella Díaz
638,Comisión Accidental
639,emergencia
640,Boris Salazar
641,Juez asesinada Colombia
642,Juez asesinada
643,Gloria Constanza Gaona
718,Elecciones Perú
645,víctimas
646,Alejandro Pino Calad
647,Mundial Juvenil 2011
648,Barra del Indio Cúcuta
649,FIFA
650,CONPES 3623
651,Coldeportes
652,desplazamiento
653,niños
654,violencia sexual
655,Ministerio de Defensa
656,Ejército Nacional
657,Ministerio del Interior y de Justicia
658,Samuel Moreno Bogotá
659,Bogotá desorden
660,Empleo de emergencia
661,Subsidio Exepcional
662,alzas
663,petróleo
664,biocombustibles
665,Quindío
666,Risaralda
667,Caldas
668,Valle
669,FAO
670,IPC
671,IPC
672,nutrición
